wavelength,throughput,filter,lambda_c
0.9395499877929688,0.3137833882066243,F090W,0.902
0.9405499877929688,0.31521885229253416,F090W,0.902
0.9415499877929688,0.3159189826807001,F090W,0.902
0.9425499877929688,0.3180982456831506,F090W,0.902
0.9435499877929688,0.31989079491886063,F090W,0.902
0.9445499877929688,0.32261965254846664,F090W,0.902
0.9455499877929688,0.3240476228245888,F090W,0.902
0.9465499877929688,0.3255364953047251,F090W,0.902
0.9475499877929688,0.32498397603823165,F090W,0.902
0.9485499877929688,0.3244636745178583,F090W,0.902
0.9495499877929688,0.3241123864060781,F090W,0.902
0.9505499877929688,0.3228224150043324,F090W,0.902
0.9515499877929688,0.3230080649879392,F090W,0.902
0.9525499877929688,0.3202885732294605,F090W,0.902
0.9535499877929688,0.3197746292998229,F090W,0.902
0.9545499877929688,0.3180033827214232,F090W,0.902
0.9555499877929688,0.3171902760369506,F090W,0.902
0.9565499877929688,0.3158311244179779,F090W,0.902
0.9575499877929688,0.31448543856415667,F090W,0.902
0.9585499877929688,0.3152028621409094,F090W,0.902
0.9595499877929689,0.31599609264721495,F090W,0.902
0.9605499877929689,0.3170598210506137,F090W,0.902
0.9615499877929689,0.3185979945369522,F090W,0.902
0.9625499877929689,0.3209504330499054,F090W,0.902
0.9635499877929689,0.32334458732959137,F090W,0.902
0.9645499877929689,0.3259481287926522,F090W,0.902
0.9655499877929687,0.3277391918834279,F090W,0.902
0.9665499877929687,0.32927698504128433,F090W,0.902
0.9675499877929687,0.3306513459331177,F090W,0.902
0.9685499877929687,0.33164412669443,F090W,0.902
0.9695499877929687,0.33290747193140885,F090W,0.902
0.9705499877929687,0.33181802466696364,F090W,0.902
0.97154998779296875,0.3315547914917524,F090W,0.902
0.9725499877929688,0.33098613258600845,F090W,0.902
0.9735499877929688,0.3302267954709063,F090W,0.902
0.9745499877929688,0.32786803367652245,F090W,0.902
0.9755499877929688,0.3284185022222616,F090W,0.902
0.9765499877929688,0.32587636239197476,F090W,0.902
0.9775499877929688,0.3244309873887841,F090W,0.902
0.9785499877929688,0.32258612803131875,F090W,0.902
0.9795499877929688,0.32088115977294224,F090W,0.902
0.9805499877929688,0.31857785450084464,F090W,0.902
0.9815499877929688,0.3194009931852599,F090W,0.902
0.9825499877929688,0.3199111298301266,F090W,0.902
0.9835499877929688,0.3214336484770677,F090W,0.902
0.9845499877929688,0.3235907792599587,F090W,0.902
0.9855499877929688,0.3270511793163393,F090W,0.902
0.9865499877929688,0.32871642881809887,F090W,0.902
0.9875499877929688,0.33119243718556657,F090W,0.902
0.9885499877929688,0.3323950540032372,F090W,0.902
0.9895499877929688,0.33333057077111483,F090W,0.902
0.9905499877929688,0.3332943399389331,F090W,0.902
0.9915499877929688,0.3324320465267482,F090W,0.902
0.9925499877929688,0.3321311530301179,F090W,0.902
0.9935499877929688,0.3304825271988928,F090W,0.902
0.9945499877929688,0.3291196264113964,F090W,0.902
0.9955499877929688,0.32992579804530575,F090W,0.902
0.9965499877929688,0.3290005348882867,F090W,0.902
0.9975499877929688,0.3283698961000949,F090W,0.902
0.9985499877929688,0.3256935337659374,F090W,0.902
0.9995499877929688,0.3209792226698628,F090W,0.902
1.0005499877929689,0.3101356677537312,F090W,0.902
1.0015499877929688,0.2915127615211102,F090W,0.902
1.0025499877929689,0.26251649292685825,F090W,0.902
1.0035499877929688,0.22460394297849257,F090W,0.902
1.004549987792969,0.1861748043010433,F090W,0.902
1.0055499877929688,0.15070529783929562,F090W,0.902
1.006549987792969,0.12407439697389055,F090W,0.902
1.0075499877929688,0.10003801095954584,F090W,0.902
1.008549987792969,0.08289692061997088,F090W,0.902
1.0095499877929688,0.06742270566690382,F090W,0.902
1.010549987792969,0.057461012136723597,F090W,0.902
1.0115499877929688,0.04799013237313056,F090W,0.902
1.012549987792969,0.04182517803273611,F090W,0.902
1.0135499877929688,0.03546824191861642,F090W,0.902
1.014549987792969,0.03125603887014749,F090W,0.902
1.0155499877929688,0.02664574888316162,F090W,0.902
1.016549987792969,0.02356184401497075,F090W,0.902
1.0175499877929688,0.01997400056653673,F090W,0.902
1.018549987792969,0.01681608028914811,F090W,0.902
1.0195499877929688,0.01354344666201154,F090W,0.902
1.020549987792969,0.0104784621620461,F090W,0.902
1.0215499877929688,0.00782172556218322,F090W,0.902
1.022549987792969,0.00564715927401251,F090W,0.902
1.0235499877929688,0.00417230425210067,F090W,0.902
1.024550048828125,0.0029280996231053,F090W,0.902
1.025550048828125,0.00207598239076261,F090W,0.902
1.026550048828125,0.00145392333436328,F090W,0.902
1.027550048828125,0.00104252554754127,F090W,0.902
1.028550048828125,7.5677897006091e-4,F090W,0.902
1.029550048828125,5.4093211141784e-4,F090W,0.902
1.030550048828125,4.1482096816204e-4,F090W,0.902
1.031550048828125,3.0695046593823e-4,F090W,0.902
1.032550048828125,2.3254417699277e-4,F090W,0.902
1.033550048828125,1.7615404193299e-4,F090W,0.902
1.034550048828125,1.3663857201992e-4,F090W,0.902
1.035550048828125,1.0484594321421e-4,F090W,0.902
1.036550048828125,8.320827247900624e-5,F090W,0.902
1.037550048828125,6.676280512628519e-5,F090W,0.902
1.038550048828125,5.22525885782258e-5,F090W,0.902
1.039550048828125,4.31204949662458e-5,F090W,0.902
1.040550048828125,3.4937604961853013e-5,F090W,0.902
1.041550048828125,2.8560343512447356e-5,F090W,0.902
1.042550048828125,2.346007596268603e-5,F090W,0.902
1.043550048828125,1.9566694924324867e-5,F090W,0.902
1.044550048828125,1.6802949239845404e-5,F090W,0.902
1.045550048828125,1.3962149822404255e-5,F090W,0.902
1.046550048828125,1.2144817977109602e-5,F090W,0.902
1.047550048828125,1.0868100022788912e-5,F090W,0.902
1.048550048828125,9.003291559398242e-6,F090W,0.902
1.049550048828125,8.5062274442794e-6,F090W,0.902
1.050550048828125,7.516059983494084e-6,F090W,0.902
1.051550048828125,6.720985416910227e-6,F090W,0.902
1.052550048828125,6.03558429583154e-6,F090W,0.902
1.053550048828125,5.515687398739936e-6,F090W,0.902
1.054550048828125,4.314479052656947e-6,F090W,0.902
1.055550048828125,4.952104591018686e-6,F090W,0.902
1.056550048828125,5.048667790618601e-6,F090W,0.902
1.057550048828125,4.271541696085302e-6,F090W,0.902
1.058550048828125,4.3379096071258854e-06,F090W,0.902
1.059550048828125,3.885789646015675e-6,F090W,0.902
1.060550048828125,3.662652359932044e-6,F090W,0.902
1.061550048828125,3.6230434640812063e-6,F090W,0.902
1.062550048828125,3.609225380377328e-6,F090W,0.902
1.063550048828125,2.881969371895939e-6,F090W,0.902
1.064550048828125,3.228019052450394e-6,F090W,0.902
1.065550048828125,2.7973459760632e-6,F090W,0.902
1.066550048828125,3.810472377242064e-6,F090W,0.902
1.067550048828125,2.9401228720403992e-6,F090W,0.902
1.068550048828125,3.435775138971319e-6,F090W,0.902
1.069550048828125,2.9518445972658817e-6,F090W,0.902
1.070550048828125,3.1534552600291535e-6,F090W,0.902
1.0715500488281249,0,F090W,0.902
1.072550048828125,0,F090W,0.902
0.9682000122070312,0,F115W,1.154
0.9692000122070312,0,F115W,1.154
0.9702000122070312,5.077655304746889e-6,F115W,1.154
0.9712000122070312,6.0275387949257945e-6,F115W,1.154
0.9722000122070312,7.002106704209759e-6,F115W,1.154
0.9732000122070312,7.979833975916806e-6,F115W,1.154
0.9742000122070312,8.880255596891698e-6,F115W,1.154
0.9752000122070312,9.762961927962644e-6,F115W,1.154
0.9762000122070312,1.0668734864309234e-5,F115W,1.154
0.9772000122070312,1.1782361950173782e-5,F115W,1.154
0.9782000122070312,1.32102134732799e-5,F115W,1.154
0.9792000122070312,1.516631385151538e-5,F115W,1.154
0.9802000122070312,1.778441549939827e-5,F115W,1.154
0.9812000122070312,2.1321963184298444e-5,F115W,1.154
0.9822000122070312,2.6115912418520624e-5,F115W,1.154
0.9832000122070312,3.2487784803813586e-5,F115W,1.154
0.9842000122070312,4.0714942996792194e-5,F115W,1.154
0.9852000122070312,5.1211044498137015e-5,F115W,1.154
0.9862000122070312,6.401925799974886e-5,F115W,1.154
