filter,wavelength,throughput,lambda_c,speclite_filter,source
u,0.326600000000006,0.0010971457556756769,0.3745700760437951,lsst2023-u,lsst2023
u,0.326700000000006,0.001161754521907191,0.3745700760437951,lsst2023-u,lsst2023
u,0.32680000000000603,0.0012290309547654062,0.3745700760437951,lsst2023-u,lsst2023
u,0.3269000000000061,0.001299042249354656,0.3745700760437951,lsst2023-u,lsst2023
u,0.3270000000000061,0.0013718563949675555,0.3745700760437951,lsst2023-u,lsst2023
u,0.3271000000000061,0.0014651699571526637,0.3745700760437951,lsst2023-u,lsst2023
u,0.32720000000000615,0.0015626683068202959,0.3745700760437951,lsst2023-u,lsst2023
u,0.32730000000000614,0.0016644462133189296,0.3745700760437951,lsst2023-u,lsst2023
u,0.3274000000000062,0.0017705985293338716,0.3745700760437951,lsst2023-u,lsst2023
u,0.3275000000000062,0.0018812201818055212,0.3745700760437951,lsst2023-u,lsst2023
u,0.3276000000000062,0.0019981966615821144,0.3745700760437951,lsst2023-u,lsst2023
u,0.3277000000000062,0.00212005601733101,0.3745700760437951,lsst2023-u,lsst2023
u,0.32780000000000625,0.0022469077037430827,0.3745700760437951,lsst2023-u,lsst2023
u,0.3279000000000063,0.0023788616861163334,0.3745700760437951,lsst2023-u,lsst2023
u,0.32800000000000634,0.0025160284364810228,0.3745700760437951,lsst2023-u,lsst2023
u,0.32810000000000633,0.002654300117881103,0.3745700760437951,lsst2023-u,lsst2023
u,0.3282000000000064,0.0027981363463603806,0.3745700760437951,lsst2023-u,lsst2023
u,0.32830000000000636,0.0029476865865489484,0.3745700760437951,lsst2023-u,lsst2023
u,0.3284000000000064,0.0031031026266599526,0.3745700760437951,lsst2023-u,lsst2023
u,0.3285000000000064,0.0032645385966761577,0.3745700760437951,lsst2023-u,lsst2023
u,0.32860000000000644,0.0034396730738118306,0.3745700760437951,lsst2023-u,lsst2023
u,0.32870000000000643,0.003621833131685399,0.3745700760437951,lsst2023-u,lsst2023
u,0.3288000000000065,0.0038112145207748337,0.3745700760437951,lsst2023-u,lsst2023
u,0.3289000000000065,0.004008016424040023,0.3745700760437951,lsst2023-u,lsst2023
u,0.32900000000000656,0.0042124414820124915,0.3745700760437951,lsst2023-u,lsst2023
u,0.32910000000000655,0.0044222087516894645,0.3745700760437951,lsst2023-u,lsst2023
u,0.3292000000000066,0.004639547534272341,0.3745700760437951,lsst2023-u,lsst2023
u,0.3293000000000066,0.004864638126618942,0.3745700760437951,lsst2023-u,lsst2023
u,0.32940000000000663,0.005097663296554199,0.3745700760437951,lsst2023-u,lsst2023
u,0.3295000000000066,0.0053388082831940095,0.3745700760437951,lsst2023-u,lsst2023
u,0.32960000000000667,0.00556957830783951,0.3745700760437951,lsst2023-u,lsst2023
u,0.3297000000000067,0.0058072512221714325,0.3745700760437951,lsst2023-u,lsst2023
u,0.32980000000000675,0.006051949082786514,0.3745700760437951,lsst2023-u,lsst2023
u,0.32990000000000674,0.0063037947533028625,0.3745700760437951,lsst2023-u,lsst2023
u,0.3300000000000068,0.006562911874334092,0.3745700760437951,lsst2023-u,lsst2023
u,0.3301000000000068,0.006820342539537143,0.3745700760437951,lsst2023-u,lsst2023
u,0.3302000000000068,0.007084435339346531,0.3745700760437951,lsst2023-u,lsst2023
u,0.3303000000000068,0.007355275413653762,0.3745700760437951,lsst2023-u,lsst2023
u,0.33040000000000685,0.007632947572476592,0.3745700760437951,lsst2023-u,lsst2023
u,0.33050000000000684,0.007917536242115195,0.3745700760437951,lsst2023-u,lsst2023
u,0.3306000000000069,0.008219556656755238,0.3745700760437951,lsst2023-u,lsst2023
u,0.33070000000000693,0.008529457011468034,0.3745700760437951,lsst2023-u,lsst2023
u,0.330800000000007,0.008847351596548349,0.3745700760437951,lsst2023-u,lsst2023
u,0.33090000000000697,0.009173354692844762,0.3745700760437951,lsst2023-u,lsst2023
u,0.331000000000007,0.009507580499770301,0.3745700760437951,lsst2023-u,lsst2023
u,0.331100000000007,0.00977527188515768,0.3745700760437951,lsst2023-u,lsst2023
u,0.33120000000000704,0.010048558664930502,0.3745700760437951,lsst2023-u,lsst2023
u,0.33130000000000703,0.010327516499508202,0.3745700760437951,lsst2023-u,lsst2023
u,0.3314000000000071,0.01061222093410401,0.3745700760437951,lsst2023-u,lsst2023
u,0.33150000000000707,0.010902747330601426,0.3745700760437951,lsst2023-u,lsst2023
u,0.33160000000000717,0.011222541353309155,0.3745700760437951,lsst2023-u,lsst2023
u,0.33170000000000716,0.01154947054822519,0.3745700760437951,lsst2023-u,lsst2023
u,0.3318000000000072,0.01188364664289118,0.3745700760437951,lsst2023-u,lsst2023
u,0.3319000000000072,0.012225182409536746,0.3745700760437951,lsst2023-u,lsst2023
u,0.33200000000000723,0.012574191667194224,0.3745700760437951,lsst2023-u,lsst2023
u,0.3321000000000072,0.012970523149991614,0.3745700760437951,lsst2023-u,lsst2023
u,0.33220000000000727,0.013375986457649038,0.3745700760437951,lsst2023-u,lsst2023
u,0.33230000000000726,0.013790719729418111,0.3745700760437951,lsst2023-u,lsst2023
u,0.3324000000000073,0.014214862198806471,0.3745700760437951,lsst2023-u,lsst2023
u,0.33250000000000735,0.014648554192945723,0.3745700760437951,lsst2023-u,lsst2023
u,0.3326000000000074,0.015061595480078306,0.3745700760437951,lsst2023-u,lsst2023
u,0.3327000000000074,0.015482825089736927,0.3745700760437951,lsst2023-u,lsst2023
u,0.3328000000000074,0.01591234129807198,0.3745700760437951,lsst2023-u,lsst2023
u,0.3329000000000074,0.016350242928492704,0.3745700760437951,lsst2023-u,lsst2023
u,0.33300000000000746,0.01679662935575307,0.3745700760437951,lsst2023-u,lsst2023
u,0.33310000000000745,0.01714503566834546,0.3745700760437951,lsst2023-u,lsst2023
u,0.3332000000000075,0.01749815842295881,0.3745700760437951,lsst2023-u,lsst2023
u,0.3333000000000075,0.01785602676931482,0.3745700760437951,lsst2023-u,lsst2023
u,0.3334000000000075,0.018218669806093605,0.3745700760437951,lsst2023-u,lsst2023
u,0.33350000000000757,0.018586116582177407,0.3745700760437951,lsst2023-u,lsst2023
u,0.3336000000000076,0.018981300897845114,0.3745700760437951,lsst2023-u,lsst2023
u,0.3337000000000076,0.01938224627943431,0.3745700760437951,lsst2023-u,lsst2023
u,0.33380000000000765,0.019789033975717202,0.3745700760437951,lsst2023-u,lsst2023
u,0.33390000000000764,0.020201745540357783,0.3745700760437951,lsst2023-u,lsst2023
u,0.3340000000000077,0.020620462657896348,0.3745700760437951,lsst2023-u,lsst2023
u,0.33410000000000767,0.021044111755557413,0.3745700760437951,lsst2023-u,lsst2023
u,0.3342000000000077,0.02147450235020487,0.3745700760437951,lsst2023-u,lsst2023
u,0.33430000000000776,0.021911738944828126,0.3745700760437951,lsst2023-u,lsst2023
u,0.3344000000000078,0.022355925763223875,0.3745700760437951,lsst2023-u,lsst2023
u,0.3345000000000078,0.022807166533468867,0.3745700760437951,lsst2023-u,lsst2023
u,0.33460000000000784,0.023274805702496796,0.3745700760437951,lsst2023-u,lsst2023
u,0.3347000000000078,0.0237500202302288,0.3745700760437951,lsst2023-u,lsst2023
u,0.33480000000000787,0.024232917606246924,0.3745700760437951,lsst2023-u,lsst2023
u,0.33490000000000786,0.02472360392148994,0.3745700760437951,lsst2023-u,lsst2023
u,0.3350000000000079,0.02522218357858808,0.3745700760437951,lsst2023-u,lsst2023
u,0.3351000000000079,0.025660443915880276,0.3745700760437951,lsst2023-u,lsst2023
u,0.33520000000000794,0.026104817931545378,0.3745700760437951,lsst2023-u,lsst2023
u,0.335300000000008,0.026555370365242057,0.3745700760437951,lsst2023-u,lsst2023
u,0.335400000000008,0.02701216266866157,0.3745700760437951,lsst2023-u,lsst2023
u,0.335500000000008,0.02747525268876752,0.3745700760437951,lsst2023-u,lsst2023
u,0.33560000000000806,0.02791220281630029,0.3745700760437951,lsst2023-u,lsst2023
u,0.33570000000000805,0.028354577019981786,0.3745700760437951,lsst2023-u,lsst2023
u,0.3358000000000081,0.02880240284789035,0.3745700760437951,lsst2023-u,lsst2023
u,0.3359000000000081,0.029255702798568192,0.3745700760437951,lsst2023-u,lsst2023
u,0.3360000000000081,0.02971449397203567,0.3745700760437951,lsst2023-u,lsst2023
u,0.3361000000000081,0.03017012493275714,0.3745700760437951,lsst2023-u,lsst2023
u,0.33620000000000816,0.030630801437875502,0.3745700760437951,lsst2023-u,lsst2023
u,0.3363000000000082,0.03109651134067901,0.3745700760437951,lsst2023-u,lsst2023
u,0.33640000000000825,0.031567235513432136,0.3745700760437951,lsst2023-u,lsst2023
u,0.33650000000000824,0.03204294745321911,0.3745700760437951,lsst2023-u,lsst2023
u,0.3366000000000083,0.032523610185679716,0.3745700760437951,lsst2023-u,lsst2023
u,0.33670000000000827,0.03300942923164114,0.3745700760437951,lsst2023-u,lsst2023
u,0.3368000000000083,0.03350043908545962,0.3745700760437951,lsst2023-u,lsst2023
u,0.3369000000000083,0.0339966742845941,0.3745700760437951,lsst2023-u,lsst2023
u,0.33700000000000835,0.03449816940433054,0.3745700760437951,lsst2023-u,lsst2023
u,0.3371000000000084,0.03494480750588462,0.3745700760437951,lsst2023-u,lsst2023
u,0.33720000000000844,0.03539584991429036,0.3745700760437951,lsst2023-u,lsst2023
u,0.3373000000000084,0.03585132738290108,0.3745700760437951,lsst2023-u,lsst2023
u,0.33740000000000847,0.03631127072478478,0.3745700760437951,lsst2023-u,lsst2023
u,0.33750000000000846,0.036775710808159466,0.3745700760437951,lsst2023-u,lsst2023
u,0.3376000000000085,0.03731683174144827,0.3745700760437951,lsst2023-u,lsst2023
u,0.3377000000000085,0.037864294741291445,0.3745700760437951,lsst2023-u,lsst2023
u,0.33780000000000854,0.03841815639642251,0.3745700760437951,lsst2023-u,lsst2023
u,0.3379000000000085,0.03897847370241527,0.3745700760437951,lsst2023-u,lsst2023
u,0.33800000000000857,0.03954530406627934,0.3745700760437951,lsst2023-u,lsst2023
u,0.3381000000000086,0.040073530744801605,0.3745700760437951,lsst2023-u,lsst2023
u,0.33820000000000866,0.04060734008732215,0.3745700760437951,lsst2023-u,lsst2023
u,0.33830000000000865,0.04114677673305907,0.3745700760437951,lsst2023-u,lsst2023
u,0.3384000000000087,0.04169188562922572,0.3745700760437951,lsst2023-u,lsst2023
u,0.3385000000000087,0.04224271203517678,0.3745700760437951,lsst2023-u,lsst2023
u,0.3386000000000087,0.042750834528649286,0.3745700760437951,lsst2023-u,lsst2023
u,0.3387000000000087,0.04326374755223768,0.3745700760437951,lsst2023-u,lsst2023
u,0.33880000000000876,0.04378146451359308,0.3745700760437951,lsst2023-u,lsst2023
u,0.33890000000000875,0.044303999461836836,0.3745700760437951,lsst2023-u,lsst2023
u,0.33900000000000885,0.0448313671509768,0.3745700760437951,lsst2023-u,lsst2023
u,0.33910000000000884,0.04538006312009771,0.3745700760437951,lsst2023-u,lsst2023
u,0.3392000000000089,0.04593382811698493,0.3745700760437951,lsst2023-u,lsst2023
u,0.3393000000000089,0.04649268002016426,0.3745700760437951,lsst2023-u,lsst2023
u,0.3394000000000089,0.0470566376624989,0.3745700760437951,lsst2023-u,lsst2023
u,0.3395000000000089,0.04762572090693517,0.3745700760437951,lsst2023-u,lsst2023
u,0.33960000000000895,0.04816380528387877,0.3745700760437951,lsst2023-u,lsst2023
u,0.33970000000000894,0.048706249793068306,0.3745700760437951,lsst2023-u,lsst2023
u,0.339800000000009,0.04925306987668251,0.3745700760437951,lsst2023-u,lsst2023
u,0.33990000000000903,0.049804282470137864,0.3745700760437951,lsst2023-u,lsst2023
u,0.3400000000000091,0.05035990609268984,0.3745700760437951,lsst2023-u,lsst2023
u,0.34010000000000906,0.05075067394417233,0.3745700760437951,lsst2023-u,lsst2023
u,0.3402000000000091,0.05114372480343449,0.3745700760437951,lsst2023-u,lsst2023
u,0.3403000000000091,0.05153907016218431,0.3745700760437951,lsst2023-u,lsst2023
u,0.34040000000000914,0.05193672340737878,0.3745700760437951,lsst2023-u,lsst2023
u,0.34050000000000913,0.05233669989067952,0.3745700760437951,lsst2023-u,lsst2023
u,0.3406000000000092,0.052778416402294775,0.3745700760437951,lsst2023-u,lsst2023
u,0.34070000000000916,0.05322303393850298,0.3745700760437951,lsst2023-u,lsst2023
u,0.3408000000000092,0.053670578010973885,0.3745700760437951,lsst2023-u,lsst2023
u,0.34090000000000925,0.05412107633040515,0.3745700760437951,lsst2023-u,lsst2023
u,0.3410000000000093,0.05457455888721941,0.3745700760437951,lsst2023-u,lsst2023
u,0.3411000000000093,0.05509148922387127,0.3745700760437951,lsst2023-u,lsst2023
u,0.34120000000000933,0.05561224327732393,0.3745700760437951,lsst2023-u,lsst2023
u,0.3413000000000093,0.05613686376284386,0.3745700760437951,lsst2023-u,lsst2023
u,0.34140000000000936,0.056665396137713056,0.3745700760437951,lsst2023-u,lsst2023
u,0.34150000000000935,0.05719788870319012,0.3745700760437951,lsst2023-u,lsst2023
u,0.3416000000000094,0.057734395090580135,0.3745700760437951,lsst2023-u,lsst2023
u,0.34170000000000944,0.05827485919099664,0.3745700760437951,lsst2023-u,lsst2023
u,0.3418000000000095,0.05881930210548467,0.3745700760437951,lsst2023-u,lsst2023
u,0.3419000000000095,0.05936774499402243,0.3745700760437951,lsst2023-u,lsst2023
u,0.3420000000000095,0.059920209075407405,0.3745700760437951,lsst2023-u,lsst2023
u,0.3421000000000095,0.06041088137582278,0.3745700760437951,lsst2023-u,lsst2023
u,0.34220000000000955,0.060904698302109976,0.3745700760437951,lsst2023-u,lsst2023
u,0.34230000000000954,0.06140167398378775,0.3745700760437951,lsst2023-u,lsst2023
u,0.3424000000000096,0.06190182257531993,0.3745700760437951,lsst2023-u,lsst2023
u,0.3425000000000096,0.06240515825561494,0.3745700760437951,lsst2023-u,lsst2023
u,0.3426000000000096,0.06286582450574929,0.3745700760437951,lsst2023-u,lsst2023
u,0.34270000000000966,0.06332906396094323,0.3745700760437951,lsst2023-u,lsst2023
u,0.3428000000000097,0.06379488592537719,0.3745700760437951,lsst2023-u,lsst2023
u,0.3429000000000097,0.06426329970615957,0.3745700760437951,lsst2023-u,lsst2023
u,0.34300000000000974,0.06473431461407018,0.3745700760437951,lsst2023-u,lsst2023
u,0.34310000000000973,0.0650864967985537,0.3745700760437951,lsst2023-u,lsst2023
u,0.3432000000000098,0.06544017794871887,0.3745700760437951,lsst2023-u,lsst2023
u,0.34330000000000976,0.065795362021631,0.3745700760437951,lsst2023-u,lsst2023
u,0.3434000000000098,0.06615205296854967,0.3745700760437951,lsst2023-u,lsst2023
